name,confirmed,recovered,death
武汉,37914,2502,1123
孝感,3114,313,62
黄冈,2817,611,68
荆州,1478,192,32
随州,1232,96,19
鄂州,1192,199,33
襄阳,1128,85,18
黄石,980,170,13
宜昌,906,92,15
荆门,902,112,28
咸宁,840,127,8
十堰,597,100,2
仙桃,514,63,17
天门,422,21,10
恩施,244,71,4
潜江,116,12,5
神农架林区,10,8,-
信阳,252,60,1
南阳,150,32,2
郑州,144,51,-
驻马店,138,41,-
商丘,90,25,1
周口,70,23,-
平顶山,58,19,1
新乡,55,9,2
安阳,51,13,-
许昌,37,3,-
漯河,34,6,-
洛阳,31,8,-
焦作,30,5,1
开封,25,2,-
鹤壁,19,4,-
濮阳,17,1,-
三门峡,7,4,-
济源,4,-,-
待确认,-,50,5
温州,499,159,-
杭州,166,73,-
宁波,154,46,-
台州,145,53,-
金华,55,24,-
嘉兴,43,10,-
绍兴,42,17,-
衢州,21,8,-
丽水,17,10,-
湖州,10,4,-
舟山,10,5,-
长沙,241,66,-
岳阳,153,48,1
邵阳,100,50,1
常德,78,27,-
株洲,78,23,-
娄底,75,29,-
益阳,59,24,-
衡阳,47,26,-
永州,43,23,-
怀化,40,28,-
郴州,39,22,-
湘潭,35,14,-
湘西州,8,6,-
张家界,5,3,-
合肥,168,38,1
蚌埠,153,4,5
阜阳,150,28,-
亳州,107,19,-
安庆,82,32,-
六安,63,8,-
宿州,39,11,-
马鞍山,35,9,-
芜湖,31,8,-
铜陵,28,10,-
淮北,26,6,-
淮南,23,6,-
池州,17,4,-
滁州,13,7,-
黄山,9,1,-
宣城,6,4,-
待确认,-,3,0
南昌,222,72,-
新余,127,34,-
上饶,123,20,-
九江,115,18,-
宜春,102,20,-
赣州,76,14,1
抚州,72,17,-
萍乡,32,4,-
吉安,20,7,-
鹰潭,18,3,-
景德镇,5,1,-
赣江新区,1,-,-
南京,91,27,-
苏州,86,17,-
徐州,77,20,-
淮安,60,11,-
无锡,52,15,-
连云港,46,10,-
常州,43,11,-
南通,40,13,-
泰州,37,16,-
盐城,27,6,-
扬州,21,6,-
宿迁,12,6,-
镇江,12,2,-
万州区,104,27,3
江北区,26,3,-
云阳县,23,13,-
合川区,23,5,-
綦江区,22,3,-
奉节县,20,4,-
开州区,20,12,1
九龙坡区,20,3,1
垫江县,20,4,-
渝中区,20,5,-
忠县,19,9,-
长寿区,18,8,-
两江新区,17,4,-
潼南区,17,2,-
渝北区,15,5,-
南岸区,15,2,-
大足区,14,1,-
石柱县,14,5,-
巫溪县,13,7,-
丰都县,10,2,-
巫山县,10,5,-
铜梁区,9,1,-
荣昌区,9,-,-
璧山区,8,4,-
沙坪坝区,8,-,-
大渡口区,7,4,-
巴南区,6,1,-
