name,confirmed,recovered,death,new
武汉,45027,5448,1585,615
孝感,3329,673,89,0
黄冈,2839,1149,87,0
荆州,1510,451,40,0
鄂州,1338,350,38,0
随州,1283,309,27,3
襄阳,1167,294,23,2
黄石,967,312,26,0
宜昌,891,231,27,0
荆门,794,201,34,0
咸宁,766,268,10,0
十堰,641,187,2,3
仙桃,567,184,19,5
天门,473,133,12,0
恩施,244,102,3,0
潜江,185,49,7,0
神农架林区,10,10,-,0
深圳,416,199,2,0
广州,339,157,-,0
珠海,98,45,1,0
东莞,92,26,1,1
佛山,84,33,-,0
中山,66,42,-,0
惠州,62,38,-,0
汕头,25,20,-,0
江门,23,9,-,0
湛江,22,12,-,0
肇庆,18,8,1,0
梅州,16,10,-,0
茂名,14,6,-,0
阳江,13,9,-,0
清远,12,9,-,0
韶关,10,5,-,0
揭阳,8,4,-,0
汕尾,5,2,-,0
潮州,5,4,-,0
河源,4,1,-,0
信阳,269,94,2,1
郑州,156,76,-,1
南阳,155,65,2,0
驻马店,139,87,-,0
商丘,91,50,3,0
周口,76,34,-,0
平顶山,58,34,1,0
新乡,57,24,3,0
安阳,53,28,-,1
许昌,39,16,-,0
漯河,35,17,-,1
焦作,32,9,1,0
洛阳,31,14,1,0
开封,26,13,-,0
鹤壁,19,8,-,0
濮阳,17,7,-,0
三门峡,7,5,-,0
济源,5,2,-,0
待确认,-,33,6,-
温州,504,245,1,0
杭州,169,108,-,1
宁波,156,91,-,0
台州,146,77,-,0
金华,55,33,-,0
嘉兴,45,20,-,1
绍兴,42,20,-,0
衢州,21,10,-,0
丽水,17,14,-,0
湖州,10,6,-,0
舟山,10,5,-,0
待确认,-,1,-,-
长沙,242,125,2,1
岳阳,156,67,1,1
邵阳,102,71,1,0
常德,79,52,-,0
株洲,78,46,-,0
娄底,76,51,-,0
益阳,59,48,-,0
衡阳,48,37,-,0
永州,43,30,-,0
怀化,40,38,-,0
郴州,39,29,-,0
湘潭,35,17,-,0
湘西州,8,7,-,0
张家界,5,5,-,0
合肥,173,75,1,0
蚌埠,160,40,5,1
阜阳,155,64,-,0
亳州,108,65,-,0
安庆,83,53,-,0
六安,69,30,-,0
宿州,41,20,-,0
马鞍山,37,15,-,0
芜湖,33,21,-,0
铜陵,29,13,-,0
淮北,27,14,-,0
淮南,27,12,-,0
池州,17,10,-,0
滁州,13,8,-,0
黄山,9,6,-,0
宣城,6,4,-,0
待确认,-,8,-,-
