name,confirmed,recovered,death,new
湖北,64084,15320,2346,630
广东,1342,742,6,3
河南,1271,862,19,1
浙江,1205,745,1,0
湖南,1016,705,4,3
安徽,989,630,6,0
江西,934,611,1,0
山东,754,311,4,4
江苏,631,412,-,0
重庆,573,328,6,1
四川,526,259,3,0
黑龙江,480,216,12,1
北京,399,189,4,0
上海,335,249,3,1
河北,311,206,6,2
福建,293,165,1,0
广西,249,104,2,0
陕西,245,154,1,0
云南,174,115,2,0
海南,168,104,4,0
贵州,146,91,2,0
天津,135,75,3,2
山西,132,85,-,0
辽宁,121,68,1,0
吉林,91,52,1,0
甘肃,91,76,2,0
新疆,76,25,2,0
内蒙古,75,26,0,0
宁夏,71,56,-,0
香港,69,11,2,1
台湾,26,2,1,0
青海,18,18,-,0
澳门,10,6,-,0
西藏,1,1,-,0
