name,confirmed,recovered,death
韩国,2337,26,13
日本,933,37,10
意大利,653,45,17
伊朗,270,54,26
新加坡,96,66,-
美国,60,3,-
德国,48,14,-
科威特,43,-,-
泰国,41,22,-
法国,38,12,2
巴林,36,-,-
西班牙,25,2,-
马来西亚,25,20,-
澳大利亚,23,15,-
英国,19,8,-
阿联酋,19,5,-
越南,16,16,-
加拿大,14,6,-
瑞士,9,-,-
伊拉克,7,-,-
瑞典,7,-,-
阿曼,6,-,-
以色列,6,1,-
奥地利,5,-,-
俄罗斯,5,2,-
挪威,4,-,-
希腊,4,-,-
克罗地亚,3,-,-
黎巴嫩,3,-,-
印度,3,3,-
菲律宾,3,1,1
荷兰,2,-,-
巴基斯坦,2,-,-
芬兰,2,1,-
白俄罗斯,1,-,-
新西兰,1,-,-
立陶宛,1,-,-
尼日利亚,1,-,-
埃及,1,1,-
爱沙尼亚,1,-,-
丹麦,1,-,-
罗马尼亚,1,-,-
北马其顿,1,-,-
格鲁吉亚,1,-,-
阿尔及利亚,1,-,-
阿富汗,1,-,-
巴西,1,-,-
比利时,1,1,-
斯里兰卡,1,1,-
柬埔寨,1,1,-
尼泊尔,1,1,-
