,link,title,content
0,https://www.straitstimes.com/world/coronavirus-infections-rise-above-100000-worldwide-as-outbreak-wreaks-financial-havoc,"Coronavirus infections rise above 100,000 worldwide as outbreak wreaks financial havoc","LONDON/LOS ANGELES (REUTERS) - The number of people infected with coronavirus surpassed 100,000 across the world on Friday (March 6) as the outbreak reached more countries and intensified economic damage, with business districts beginning to empty and stock markets tumbling.
An increasing number of people were asked to stay home from work, schools were closed, large gatherings and sports and music events were cancelled, stores were cleared of staples like toiletries and water, and face masks became a common sight.
The outbreak has killed more than 3,400 people and spread across more than 90 nations, with six countries reporting their first cases on Friday.
The World Health Organisation (WHO) said every country should make containing the epidemic its top priority, pointing to Iran’s national action plan to combat one of the worst outbreaks after a slow start.
Iran’s death toll from the virus jumped to 124, as more than 1,000 new cases were diagnosed over 24 hours.
In the United States, the world’s economic powerhouse, at least 57 new cases of coronavirus were confirmed as the virus struck for the first time in Colorado, Maryland, Tennessee and Texas, as well as San Francisco in California. Some 230 people have been infected in total and 12 have died.
More than 2,000 people were stranded on the Grand Princess cruise ship after it was barred from returning to port in San Francisco because at least 35 people aboard developed flu-like symptoms. Test kits were delivered at sea.
US President Donald Trump signed a bill allocating US$8.3 billion (S$11 billion) to bolster testing for the virus and other action.
Moves by some major economies including the United States to cut interest rates and pledge billions of dollars to fight the epidemic have done little to allay fears about the spread of the disease and the economic fallout. Supply chains are crippled around the world, especially in China, where the outbreak began.
“There’s concern that while there has been a response from the Fed, given the nature of the problem, is this something the central bank can really help with?” said John Davies, G10 rates strategist at Standard Chartered Bank in London.
In New York, JPMorgan divided its team between central locations and a secondary site in New Jersey while Goldman Sachs sent some traders to nearby secondary offices in Greenwich, Connecticut and Jersey City.
In London, Europe’s financial capital, the Canary Wharf district was unusually quiet. S&P Global’s large office stood empty after the company sent its 1,200 staff home, while HSBC asked around 100 people to work from home after a worker tested positive for the illness.
Facebook said it was closing its London offices until Monday after a visiting employee from Singapore was diagnosed with the virus.
European stocks continued their slide after the Japanese market dropped to a six-month low, with 97 per cent of shares on the Tokyo exchange’s main board in the red.
Airline and travel stocks have been among the worst affected as people cancelled non-essential travel. Norwegian Air Shuttle , the hardest-hit stock among European carriers, lost more than quarter of its market value on Friday and has fallen almost 70 per cent since the start of February.
“If this really ramps up, we could see a lot more kitchen-sinking updates from the travel industry and airlines,” said Chris Beauchamp, chief market analyst at IG.
Yields on US Treasuries plunged to historic lows on Friday as fears the outbreak will slam the global economy drove investors to snap up risk-adverse assets and dump equities, overshadowing data highlighting a strong US labour market.
MSCI’s gauge of stocks across the globe shed 1.87 per cent and emerging market stocks lost 2.43 per cent.
In Europe, the pan-regional STOXX 600 index fell 3.35 per cent. The travel and leisure sub-index slid 3.9 per cent.
New York’s Dow Jones Industrial Average fell 1.5 per cent.
More than 100,300 people have been infected globally, according to a Reuters tally based on statements from health ministries and government officials.
Mainland China has seen more than 3,000 deaths, but the epidemic is now spreading faster elsewhere. The death toll in Italy, which has suffered Europe’s worst outbreak, rose to 197.
About 3.4 per cent of confirmed cases of the new coronavirus – known as Covid-19 – have died, far above seasonal flu’s fatality rate of under 1 per cent, the WHO said this week.
Singapore reported 13 new infections on Friday, its biggest daily jump, including a Singapore Airlines cabin crew member.
Google, Facebook, Amazon, and Microsoft advised employees in the Seattle area to work from home, after some caught the virus. The companies’ work-from-home recommendation will affect more than 100,000 people in the area.
Starbucks said it had stopped accepting reusable cups and thermos flasks from customers in Europe, the Middle East and Africa, though it will still honour the promised discount for anyone carrying one."
1,https://www.straitstimes.com/world/united-states/how-lethal-is-the-coronavirus-experts-differ-over-diseases-death-rate,How lethal is the coronavirus? Experts differ over disease's death rate,"SINGAPORE - As the world enters its third month of grappling with the fast-spreading coronavirus, one question that has dogged governments and medical practitioners is exactly how dangerous the new disease is.
The World Health Organisation (WHO) this week put the Covid-19 global death rate at about 3.4 per cent - far higher than the seasonal flu's 0.1 per cent - but US President Donald Trump has cast doubt on its accuracy.
""Well, I think the 3.4 per cent is really a false number,"" Mr Trump was quoted by The New York Times as saying on Wednesday (March 4).
""Now, this is just my hunch, and - but based on a lot of conversations with a lot of people that do this ... it's very mild,"" he said ""So, if we have thousands or hundreds of thousands of people that get better just by, you know, sitting around and even going to work - some of them go to work, but they get better.""
There may be merit to Mr Trump's comments.
The WHO's ballpark figure reflects a simple calculation based on the number of deaths and confirmed cases. It does not account for mild, undetected cases. It is also mostly derived from the experience in China's Wuhan, the first epicentre of the outbreak, where infections soared before doctors managed to gather the knowledge and resources to battle it.
“Within the rest of China, the mortality rate is in fact much lower,” Associate Professor Kenneth Mak, director of medical services at Singapore’s Ministry of Health, told reporters at a press conference on Friday (March 6). “And perhaps that is a more accurate figure.” 
WHO has since clarified that the figure is a broad ""snapshot"" that will change as the outbreak evolves.
Experts expect the death rate to drop considerably when more information is made known about the illness.
The 3.4 per cent mortality figure ""is certainly an overestimate"", according to Mr Tom Frieden, a former director of the US Centres for Disease Control and Prevention and New York City health commissioner. The actual rate will probably be below 1 per cent, Mr Frieden told Bloomberg in an e-mail.
An editorial published in The New England Journal Of Medicine (NEJM) by Dr Anthony S. Fauci and Dr H. Clifford Lane, of the National Institute of Allergy and Infectious Diseases, and Dr Robert R. Redfield, director of the Centres for Disease Control and Prevention, arrived at the same conclusion.
""If one assumes that the number of asymptomatic or minimally symptomatic cases is several times as high as the number of reported cases, the case fatality rate may be considerably less than 1 per cent,"" the doctors wrote.
""This suggests that the overall clinical consequences of Covid-19 may ultimately be more akin to those of a severe seasonal influenza (which has a case fatality rate of approximately 0.1 per cent)… rather than a disease similar to Sars or Mers, which have had case fatality rates of 9 to 10 per cent and 36 per cent, respectively.""
Dr Bruce Aylward, who leads the WHO's coronavirus efforts, expects the fatality rate to turn out between 1 and 2 per cent, The New York Times reported.
Early estimates of the coronavirus death rate in China were about 2 per cent. A more updated report in NEJM based on over 1,000 patients across the country found it to be lower, at 1.4 per cent.
“At this point of time, there is nothing to suggest that the virus has changed in its virility,” Singapore’s Associate Professor Mak said. “But what has happened is that those figures have continued to change as more information becomes available.” 
In South Korea - the worst-hit country outside of China and where residents are being checked aggressively for the virus - the fatality rate comes in under 1 per cent. More than 6,000 infections have been detected in the country, and at least 40 people have died from it.
Calculations based only on total current cases and deaths are flawed, The New York Times reported Mr Adam Kucharski, a mathematician at the London School of Hygiene and Tropical Medicine, as saying. He described it as a ""statistical illusion"".
""(Based) on best available data, when we adjust for unreported cases and the various delays involved, we're probably looking at a fatality risk of probably between maybe 0.5 and 2 per cent for people with symptoms,"" said Mr Kucharski, who studies how diseases spread.
About 80 per cent of people infected with the coronavirus exhibit only mild symptoms while some experience none at all, the WHO has previously said. If many cases go undetected as a result, the virus is able to stealthily spread across communities while evading the WHO's tally, which experts use for analysis.
""A lot of people are asymptomatic,"" Professor Rosanna Peeling, director of the International Diagnostics Centre at the London School of Hygiene and Tropical Medicine, told Bloomberg. ""We're only seeing the cases that are confirmed and the cases of people presenting to the hospital because they can't breathe.""


As some infected individuals also take more time to present symptoms, hospitals around the world may not have been adequately equipped to detect and treat these patients, according to Prof Mak. 
Essentially, it is tough to pinpoint the true extent of the coronavirus’ lethality until governments get a better grasp of the situation in their countries and share the information transparently. 
“We’re not too fussed about whether or not (the death rate) changes over time, because we understand that this is in part driven by the statistics that are available,” Prof Mak said. 
“What’s important is to focus on our own local efforts to make sure that we detect as early as possible every case that comes on, and that we are able to treat them.” 
The epidemic has infected more than 98,000 people worldwide and killed over 3,300 as of Friday afternoon (March 6)."
2,https://www.straitstimes.com/asia/east-asia/all-passengers-arriving-in-hong-kong-airport-required-to-submit-health-declaration,All passengers arriving in Hong Kong airport required to submit health declaration forms,"HONG KONG - All passengers arriving in Hong Kong from Sunday (March 8) will be required to complete and submit a health declaration form, said the Hong Kong health authorities.
Previously, this only applied to inbound flights from mainland China.
According to local broadcaster RTHK, the Health Department said travellers from the mainland can fill in the declaration on their mobile device, and this will be extended to all incoming travellers from 0000 hours on Sunday.
The department is also advising members of the public to delay all non-essential travel outside Hong Kong because of the spread of the coronavirus around the world.
It also said that the Centre for Health Protection has written to doctors and private hospitals to inform them that the Public Health Laboratory Services Branch will provide free testing on Covid-19 for samples submitted by private doctors. The move is intended to identify coronavirus cases early and minimise the spread of the disease."
3,https://www.straitstimes.com/singapore/local-teens-face-left-fractured-after-being-hit-by-slipper-in-malaysian-religious-school,Singapore teen's face fractured after being hit with slipper in Malaysian religious school,"SINGAPORE - She was expecting to surprise her son on his 14th birthday, and had travelled for more than four hours on coach from Singapore to Selangor, Malaysia, to see him.
But instead, Miss Noridayu Zainuddin, 40, found her son Imann with a swollen face and running a high fever - the result of a teacher in his religious school hitting him in the face with a slipper so hard that he sustained a fracture."
4,https://www.straitstimes.com/asia/east-asia/mainland-china-reports-99-new-confirmed-cases-of-coronavirus-on-march-6,China reports almost all new infections outside Wuhan originated abroad,"BEIJING (REUTERS) - About a quarter of China’s new confirmed cases and almost all of those outside the epidemic’s epicentre in Wuhan originated outside the country on Friday (March 6), according to official data. 
Mainland China had 99 new confirmed cases of coronavirus infections on Friday, the country’s National Health Commission (NHC) said on Saturday, down from 143 cases a day earlier and marking the lowest number since Jan 20, when the NHC started to publish nationwide figures. 
Outside of central China’s Hubei province, there were 25 new confirmed cases reported on March 6, of which 24 came from outside 
China. 
Most of these were in China’s northwestern Gansu province, from quarantined passengers who entered the provincial capital of Lanzhou on commercial flights from Iran between March 2 and March 5. 
The capital Beijing reported four new cases on Friday, of which three came from Italy, according to a notice from the Beijing health commission posted on its official Weibo account on Saturday.  There were also three cases in Shanghai that originated abroad, and one in Guangdong province on Friday, according to the National Health Commission. 
The total nationwide number of cases that originated outside China reached 60 as of the end of Friday. 
For the second day in a row, there were no new infections in Hubei outside of the provincial capital of Wuhan.  That brings the total accumulated number of confirmed cases in mainland China so far to 80,651. 
The death toll from the outbreak in mainland China was 3,070 as of the end of Friday, up by 28 from the previous day.  The central province of Hubei, the epicentre of the outbreak, reported 28 new deaths. In the provincial capital of Wuhan, 21 people died."
5,https://www.straitstimes.com/singapore/health/13-new-covid-19-cases-in-spore-including-9-linked-to-safra-jurong-dinner-and-an-sia,"13 new Covid-19 cases in S'pore, including 9 linked to Safra Jurong dinner, and an SIA steward","SINGAPORE - Thirteen new coronavirus cases have been confirmed in Singapore, nine of them linked to a dinner at Safra Jurong on Feb 15, the Ministry of Health said on Friday (March 6).
Two others are believed to be imported cases, one linked to a previous case, and the last with no known links yet.
The private dinner function at Joy Garden restaurant is now linked to 17 cases in total. The nine new cases are Singaporeans between the ages of 33 and 70.
Not all were at the dinner.
Of the other confirmed cases, one is a 55-year-old Singtel staff.
Another is a 47-year-old Singaporean, a Singapore Airlines (SIA) steward who had been in South Africa from Feb 14 to 17 and France from Feb 22 to 24.
He is believed to be an imported case, that is, he got the virus outside Singapore. He tested positive for Covid-19 on March 5.
The other likely imported case is a 37-year-old Singapore permanent resident who was in Germany from Feb 27 to March 5. She was confirmed of having the infection on March 6.
The last case confirmed is a 77-year-old man with no recent travel history to affected regions. He had been in the same ward as Case 109 at Singapore General Hospital from Feb 29 to March 1.
Case 109 is a 70-year-old man who works at Fishmart Sakuraya in West Coast Road.
MOH said that ""as part of enhanced precautions, patients who have acute respiratory infections will be placed in wards with greater separation between patients to minimise the risk of infection"".
The 13 new cases confirmed is the biggest jump in a day.
To date, there are 130 confirmed cases. A total of 82 patients have fully recovered and been discharged from hospital.
Of the 48 still in hospital, most are stable or improving. Nine are in critical care in the intensive care unit.
In a statement on Friday afternoon, Singtel said: ""We regret to inform that one of our colleagues was diagnosed with Covid-19 last night. He is currently in hospital receiving treatment and we are supporting him and his family in every way we can.""
The immediate priority has been to manage and minimise the risk of infection at Singtel Comcentre 1, where the employee works on Level 20.
He was last in office on Feb 26 before going on medical leave. ""We have closed off Level 20 and an MOH-approved cleaning crew was brought in overnight to conduct a thorough cleaning and disinfection of the entire floor"", the statement added.
There are currently six clusters of infection here in Singapore. The dinner function at Joy Garden Restaurant in Safra Jurong cluster is now the second largest. The five others are: the Wizlearn Technologies cluster, the Yong Thai Hang health products shop, the Grand Hyatt Singapore, a Seletar Aerospace Heights construction site and the former clusters at Grace Assembly of God and the Life Church and Missions Singapore that are now considered one cluster, as a result of the earlier discovery of a missing link between the two."
6,https://www.straitstimes.com/world/united-states/coronavirus-how-to-quarantine-yourself,Coronavirus: How to quarantine yourself,"NEW YORK (NYTIMES) - Stay home unless you must see a doctor. No work, school or shopping. If you must come out of your room, wear a mask. And don't share towels.
If you are among the thousands now self-quarantined because of possible infection with the coronavirus, these are a few of the new house rules, courtesy of your local health officials and the Centres for Disease Control and Prevention.
Among people told to self-quarantine, isolate themselves or stay home are people returning from parts of China and Iran, those who developed symptoms after spending time in other countries with sustained community transmission, and those with no known exposure who are sick.
But many individuals who don't fit neatly into any of these categories and weren't asked to stay home are choosing to seclude themselves anyway because they don't want to put others at risk. California has more than 5,500 people in self-quarantine. More than 2,700 are in seclusion in New York City alone.
It may sound like a vacation from reality, an ideal time to binge on Netflix and catch up on sleep. In fact, it's not easy to lock yourself away from family and friends. There are practical and logistical challenges and yawning gaps in the official advice that make it even harder.
The terms of home isolation can be onerous and may last for two weeks, which is the presumed incubation period for the virus. It is especially challenging if you have young children or elderly relatives to care for, or live in cramped quarters with a lot of roommates.
If you are infected or have been exposed to the coronavirus, you must seclude yourself from your partner, your housemates, your children, your elderly aunt. You shouldn't even pet your dog. And definitely no snuggling with your pet (no licking).
If you don't have your own room, one should be designated for your exclusive use. You should use a separate bathroom, if you have one.
No visitors and no staff, unless it's absolutely essential. Don't take the bus or subway, not even a taxi.
If you must be around other people - in your home, or in a car because you're on your way to see a doctor, and only after you called first - you should wear a mask, and everyone else should, too.
But first, you or one of your friends or family members have to find masks, which are sold out almost everywhere.
If you cough or sneeze, you should cover your mouth and nose with a tissue and discard the used tissue in a lined trash can. Then you must immediately wash your hands with soap and water for at least 20 seconds.
You can use sanitizer, if you can find it, but soap and water are preferred.
Even if you haven't coughed or sneezed, you should wash your hands frequently and avoid touching your eyes, nose and mouth if you haven't just washed them.
Don't share dishes, drinking glasses, cups, eating utensils, towels or bedding with anyone (including your pets). Wash these items after you use them.
Countertops, tabletops, doorknobs, bathrooms fixtures, toilets, phones, keyboards, tablets and bedside tables are considered ""high-touch surfaces""; wipe them often with a household cleanser.
Frequently wipe down surfaces that may be contaminated by bodily fluids, including blood and stool.
Keep an eye on your health and call a doctor if your symptoms are getting worse. Make sure to tell the medical staff you are being monitored for the coronavirus.
Family members and other occupants should monitor the patient's symptoms and call a health provider if they see a turn for the worse.
Housemates can go to work or school, but it's going to be their job to stock up on groceries, pick up prescriptions, take care of the quarantined and keep the place clean. They'll be wiping down doorknobs and countertops, doing loads of laundry and washing their hands - a lot.
When around the patient, household members must wear a face mask, and both mask and gloves if they have contact with the patient's bodily fluids. These should be thrown away immediately, never reused.
Elderly members of the household and those with chronic medical conditions are at particular risk if they are infected. Contact with the secluded individual should be minimised.
Other occupants of the home should wash their hands frequently and avoid touching eyes, nose and mouth with unwashed hands. They should stay in a room separate from that of the exposed or sick individual. If feasible, other members of the household should not share a bathroom with the secluded person.
They should monitor their own health, too, and call a doctor if they develop a cough, fever or shortness of breath.
No one pays you for self-quarantine. There is no reimbursement for products you may need, no government-paid nurse to stop by the home and help out. Self-quarantine is a hardship for both those who have families and those who live alone.
Not everyone can work remotely. A two-week absence from work can take an enormous financial toll on hourly wage workers who have to clock in and show up to get paid or who are part of the gig economy with no single employer.
Many Americans, maybe most, live paycheck to paycheck.
""We have to have social interventions to incentivise and support isolation, or we are doomed,"" said Arthur Caplan, professor of bioethics at the New York University Langone Medical Centre.
People with no health insurance, inadequate insurance or no regular doctor will be reluctant to seek care if they have symptoms, fearing steep medical bills, he noted. Individuals living in the country illegally, fearful of being discovered and deported, may avoid diagnosis and care.
""I don't see the state or federal government preparing for this in any way,"" Caplan added.
Senator Patty Murray, and Representative Rosa DeLauro, have introduced legislation that would require all employers to let workers accrue seven days of sick leave, while providing another 14 days for immediate use during a public health emergency.
Washington state's website says the health department can help with groceries for those unable to leave their homes and even intervene with employers on their behalf if necessary.
Providing for people who make sacrifices for the greater good is crucial, said Lawrence Gostin, a law professor at Georgetown University and director of the World Health Organisation Collaborating Centre on National and Global Health Law.
""We ought to have a social compact: If you're sick, whether you've got Covid-19 or not, you should separate yourself from society,"" Gostin said. ""That's your part of the bargain; you're doing it for your neighbours, your family and your community.
""In exchange,"" he said, ""we as a nation owe you the right to a humane period of separation, where we meet your essential needs like medicine, health care, food and sick pay."""
7,https://www.straitstimes.com/asia/east-asia/video-showing-wuhan-residents-decrying-its-all-fake-as-chinese-official-tours-city,Video shows Wuhan residents decrying 'it's all fake' as Chinese official tours city,"BEIJING (AFP) - Videos showing residents at the centre of China's coronavirus epidemic haranguing a top Chinese official have highlighted persistent anger at how the authorities have handled the crisis.
The clips, which have been circulating online since Thursday (March 5), show occupants of an apartment block in the city of Wuhan yelling ""it's all fake"" from windows during an official neighbourhood inspection by Vice-Premier Sun Chunlan.
According to Chinese media, the complaints were an outcry against the community's property management, who were allegedly only pretending to have volunteers deliver vegetables and meat to inhabitants of the towers in the locked-down city.
Surprisingly, China's censors, usually quick to scrub any criticism of government officials, have allowed the home-made videos to remain on Weibo, the country's Twitter-like social media platform. But the central government appears to be seizing on the videos to craft a narrative that Beijing is listening to the demands of its people and that the local authorities are to blame for the mistakes.
State news agency Xinhua reported late on Thursday that Mr Sun has asked for ""in-depth investigations"" to address problems raised by Wuhan residents, although there is no mention of the video.
The People's Daily, the Communist Party mouthpiece, shared an edited version of one clip on Twitter, though it deleted the post on its English account, while the Chinese version was still online.
With no end in sight to the quarantine, which began in the city of 11 million people on Jan 23, many residents are depending on online group-buying services to get food.
Supermarkets and neighbourhood committees have scrambled to fill orders as demand rocketed, but some residents have told AFP that not everyone has been happy with the price and quality of mass-purchased food. Families have had to depend on themselves for resource, despite official reassurances that supplies were being channelled to the struggling city.
The nationalistic Global Times said on Friday that the local government in Wuhan has been ordered to ""investigate and solve the problem immediately"". It added that a central government guiding group for the epidemic urged local authorities to ensure that there are supplies for residents soon after the incident.
Meanwhile, Wuhan has launched an investigation in the community of over 3,000 to understand their concerns, added the Global Times.
Observers said the edited video tweeted by People's Daily seemed to be downplaying discontent. Mr Carl Minzner, an expert on Chinese law at Fordham Law School, tweeted on Friday that the clip suggested only one resident was shouting, instead of more heard in a longer version of the video circulating online.
He added that this suggests that party authorities were ""sufficiently worried"" about the original clip and suggestions of mass discontent in Wuhan that they came up with an alternative narrative.
China has been making rare exceptions to allow for criticism online in the epidemic, but mostly when directed at local officials, as the Communist Party attempts to shield itself from public rage.
In February, the death of whistle-blowing doctor Li Wenliang, who had contracted the virus, had unleashed a wave of anger at how officials handled the crisis.
People on Weibo voiced support for Wuhan residents, with one saying, ""I hope this has an effect.""
Another questioned why she could not find more information about the incident on social media despite official media reporting about it, wondering if it would make Weibo's ""hot search"" list."
8,https://www.straitstimes.com/world/europe/climate-change-or-coronavirus-pick-your-evil-protesters-say,"Climate change or coronavirus? 'Pick your evil', protesters say","BRUSSELS (REUTERS) - Protesters at a rally led by climate activist Greta Thunberg on Friday (March 6) denounced governments for taking urgent action against the coronavirus outbreak but failing to treat global warming as an emergency.
Several thousand people braved the rain in Brussels with the 17-year-old Swede, marching through the city that is home to the European Union's main institutions.
""It is shameful that for so long the climate and environmental emergency has been ignored. We are still in a crisis that has never once been treated like a crisis,"" Thunberg told the demonstrators in a speech.
Some supporters said they had put aside concerns about being infected with the coronavirus in a crowd to join the march.
""It's pick your evil. Do you want to die from global warming or from coronavirus?"" said Gorkem, 40, wearing a face mask.
""One of them gets much more attention than the other, so we are trying to raise a bit more awareness about what is already affecting all our lives.""
Flo, a filmmaker from the Belgian city of Ghent who attended with her baby daughter, said the rapid spread of the coronavirus had demonstrated that governments can respond to crises.
""You see people all crazy with coronavirus and you see that governments can do things to make everybody aware about a situation, to make things happen... But they do so little about climate change,"" she said.
Organisers said some 4,000 people attended the event, fewer than expected, probably because of the weather and concerns about the spread of the virus in large crowds.
Andaga, 25, a marine biology student from Ghent, said some of her friends stayed away because of worries about the virus.
""I thought, okay, maybe I should carry hand sanitiser, but it was sold out everywhere ... Yes, it was a concern of mine but not enough to stop me from coming out and marching,"" she said.
While the protest went ahead, some events in the European Union's hub have been cancelled as a precaution.
The European Parliament has banned external visitors for the next three weeks, although it waived its own rule on Thursday to allow Thunberg to give a speech.
Other climate events have fallen victim to the virus. The United Nations on Friday postponed a week of climate change events in Kampala, Uganda, which had been scheduled for next month."
9,https://www.straitstimes.com/world/united-states/boeing-faces-us20-million-fine-by-faa,Boeing faces US$20 million fine by FAA,"NEW YORK (NYTIMES) - The Federal Aviation Administration recommended on Friday (March 6) that Boeing be fined nearly US$20 million (S$27 million) for installing equipment in the 737 Max and other aircraft before its approval.
The announcement came hours after Democrats on the House Transportation Committee slammed both the company and the agency for failing to ensure the safety of the Max jets. Two of the planes crashed in 2018 and 2019, killing 346 people and leading to the model's worldwide grounding.
The FAA accused Boeing of installing the equipment, the Head-Up Guidance System from Rockwell Collins, on nearly 800 jetliners from June 2015 to April 2019. The systems included sensors that had not been tested or approved when they were installed, though Rockwell Collins later conducted the necessary testing and risk analysis, the agency said in a statement.
In response, Boeing noted that the proposed US$19.68 million fine did not involve a safety issue and said a review had found that the systems ""met or exceeded"" the original requirements.
""We understand the critical importance of compliance with all documentation requirements of the FAA's certifications,"" the company said. ""We are committed to doing better.""
The agency accused Boeing of installing the systems in 618 Boeing 737 NGs and 173 Max planes. Boeing has 30 days to respond to the recommendation. Typically, the final details of such penalties are worked out in legal negotiations between the agency and the offending party.
The FAA proposed a US$5.4 million fine in January after it accused Boeing of installing substandard components in the Max and other aircraft. That fine has not yet been made final.
Earlier in the day, the House Transportation Committee's Democratic majority issued preliminary findings from a yearlong investigation into the Max disasters. The majority staff accused Boeing of overlooking safety in the interest of meeting production goals, making misguided assumptions about flight-control software known as MCAS and hiding information from the FAA, the public and Boeing customers, among other things. The report also accused FAA management of yielding to Boeing's influence and rejecting the safety concerns of its own experts.
""Our committee's investigation will continue for the foreseeable future, as there are a number of leads we continue to chase down to better understand how the system failed so horribly,"" the committee's chairman, Representative Peter DeFazio, said in a statement.
The Democrats also argued that Congress should change the FAA's aircraft certification process. The committee's Republican minority agreed that there were problems with the process and said it was open to bipartisan legislation, but dismissed the idea that the system was ""broken or in need of wholesale dismantlement."" The report was released just before the March 10 anniversary of the crash of a Max jet, Ethiopian Airlines Flight 302, that killed all 157 people on board.
""We have cooperated extensively for the past year with the committee's investigation,"" Boeing said in a statement about the findings. ""We will review this preliminary report."""
