name,confirmed,recovered,death,added_date
日本,355,1,1,20200216
新加坡,72,18,-,20200216
泰国,34,14,-,20200216
韩国,29,9,-,20200216
马来西亚,22,7,-,20200216
德国,16,1,-,20200216
越南,16,7,-,20200216
美国,15,3,-,20200216
澳大利亚,15,5,-,20200216
法国,12,4,1,20200216
英国,9,8,-,20200216
阿联酋,8,4,-,20200216
加拿大,8,1,-,20200216
意大利,3,-,-,20200216
印度,3,3,-,20200216
菲律宾,3,1,1,20200216
西班牙,2,-,-,20200216
俄罗斯,2,2,-,20200216
埃及,1,-,-,20200216
巴西,1,-,-,20200216
比利时,1,-,-,20200216
瑞典,1,-,-,20200216
芬兰,1,1,-,20200216
斯里兰卡,1,1,-,20200216
柬埔寨,1,1,-,20200216
尼泊尔,1,1,-,20200216
韩国,1595,24,13,20200227
日本,894,27,7,20200227
意大利,470,3,12,20200227
伊朗,139,49,19,20200227
新加坡,93,62,-,20200227
美国,60,3,-,20200227
泰国,40,22,-,20200227
巴林,33,-,-,20200227
德国,27,14,-,20200227
科威特,26,-,-,20200227
澳大利亚,23,15,-,20200227
马来西亚,22,15,-,20200227
法国,18,11,2,20200227
越南,16,16,-,20200227
西班牙,13,2,-,20200227
英国,13,8,-,20200227
阿联酋,13,4,-,20200227
加拿大,12,6,-,20200227
以色列,6,-,-,20200227
伊拉克,5,-,-,20200227
俄罗斯,5,2,-,20200227
阿曼,4,-,-,20200227
印度,3,3,-,20200227
菲律宾,3,1,1,20200227
巴基斯坦,2,-,-,20200227
奥地利,2,-,-,20200227
黎巴嫩,2,-,-,20200227
瑞典,2,-,-,20200227
芬兰,2,1,-,20200227
罗马尼亚,1,-,-,20200227
北马其顿,1,-,-,20200227
挪威,1,-,-,20200227
格鲁吉亚,1,-,-,20200227
希腊,1,-,-,20200227
阿尔及利亚,1,-,-,20200227
瑞士,1,-,-,20200227
克罗地亚,1,-,-,20200227
阿富汗,1,-,-,20200227
巴西,1,-,-,20200227
比利时,1,1,-,20200227
斯里兰卡,1,1,-,20200227
柬埔寨,1,1,-,20200227
尼泊尔,1,1,-,20200227
日本,519,1,1,20200218
新加坡,77,24,-,20200218
泰国,35,15,-,20200218
韩国,30,10,-,20200218
马来西亚,22,9,-,20200218
德国,16,7,-,20200218
越南,16,7,-,20200218
美国,15,3,-,20200218
澳大利亚,15,5,-,20200218
法国,12,4,1,20200218
英国,9,8,-,20200218
阿联酋,9,4,-,20200218
加拿大,8,1,-,20200218
意大利,3,-,-,20200218
印度,3,3,-,20200218
菲律宾,3,1,1,20200218
西班牙,2,-,-,20200218
俄罗斯,2,2,-,20200218
埃及,1,-,-,20200218
巴西,1,-,-,20200218
比利时,1,1,-,20200218
瑞典,1,-,-,20200218
芬兰,1,1,-,20200218
斯里兰卡,1,1,-,20200218
柬埔寨,1,1,-,20200218
尼泊尔,1,1,-,20200218
日本,708,1,3,20200220
韩国,104,12,1,20200220
新加坡,84,34,-,20200220
泰国,35,17,-,20200220
马来西亚,22,15,-,20200220
德国,16,9,-,20200220
越南,16,9,-,20200220
美国,15,3,-,20200220
澳大利亚,15,5,-,20200220
法国,12,4,1,20200220
英国,9,8,-,20200220
阿联酋,9,4,-,20200220
加拿大,8,1,-,20200220
伊朗,5,0,2,20200220
意大利,3,-,-,20200220
印度,3,3,-,20200220
菲律宾,3,1,1,20200220
西班牙,2,-,-,20200220
俄罗斯,2,2,-,20200220
巴西,1,-,-,20200220
比利时,1,1,-,20200220
瑞典,1,-,-,20200220
芬兰,1,1,-,20200220
斯里兰卡,1,1,-,20200220
柬埔寨,1,1,-,20200220
尼泊尔,1,1,-,20200220
日本,744,1,3,20200221
韩国,208,12,1,20200221
新加坡,85,37,-,20200221
泰国,35,17,-,20200221
马来西亚,22,15,-,20200221
德国,16,9,-,20200221
越南,16,10,-,20200221
美国,15,3,-,20200221
澳大利亚,15,5,-,20200221
法国,12,4,1,20200221
英国,9,8,-,20200221
阿联酋,9,4,-,20200221
加拿大,8,3,-,20200221
伊朗,5,0,2,20200221
意大利,4,-,-,20200221
印度,3,3,-,20200221
菲律宾,3,1,1,20200221
西班牙,2,-,-,20200221
俄罗斯,2,2,-,20200221
巴西,1,-,-,20200221
比利时,1,1,-,20200221
瑞典,1,-,-,20200221
芬兰,1,1,-,20200221
斯里兰卡,1,1,-,20200221
柬埔寨,1,1,-,20200221
尼泊尔,1,1,-,20200221
韩国,1261,22,12,20200226
日本,862,23,6,20200226
意大利,323,2,11,20200226
伊朗,95,21,16,20200226
新加坡,90,53,-,20200226
美国,57,3,-,20200226
泰国,40,22,-,20200226
巴林,26,-,-,20200226
澳大利亚,23,10,-,20200226
马来西亚,22,15,-,20200226
德国,18,14,-,20200226
越南,16,16,-,20200226
法国,14,11,1,20200226
英国,13,8,-,20200226
阿联酋,13,4,-,20200226
科威特,12,-,-,20200226
加拿大,11,6,-,20200226
西班牙,9,2,-,20200226
以色列,6,-,-,20200226
伊拉克,5,-,-,20200226
阿曼,4,-,-,20200226
印度,3,3,-,20200226
菲律宾,3,1,1,20200226
奥地利,2,-,-,20200226
俄罗斯,2,2,-,20200226
