name,confirmed,recovered,death,added_date
湖北,56249,5623,1596,20200216
广东,1316,436,2,20200216
河南,1231,397,13,20200216
浙江,1167,437,-,20200216
湖南,1004,430,3,20200216
安徽,962,232,6,20200216
江西,925,239,1,20200216
江苏,617,190,-,20200216
重庆,544,184,5,20200216
山东,537,164,2,20200216
四川,481,127,3,20200216
黑龙江,445,70,11,20200216
北京,380,105,4,20200216
上海,328,140,1,20200216
河北,300,100,3,20200216
福建,287,77,0,20200216
广西,237,46,2,20200216
陕西,236,64,-,20200216
云南,169,42,-,20200216
海南,162,39,4,20200216
贵州,144,37,1,20200216
山西,128,46,-,20200216
天津,122,37,3,20200216
辽宁,120,34,1,20200216
甘肃,90,49,2,20200216
吉林,89,28,1,20200216
新疆,71,11,1,20200216
宁夏,70,33,-,20200216
内蒙古,70,7,-,20200216
香港,56,1,1,20200216
青海,18,13,-,20200216
台湾,18,2,-,20200216
澳门,10,3,-,20200216
西藏,1,1,-,20200216
湖北,39738,23217,2641,20200227
广东,465,875,7,20200227
河南,189,1063,20,20200227
浙江,320,884,1,20200227
湖南,211,802,4,20200227
安徽,198,785,6,20200227
江西,179,754,1,20200227
山东,368,382,6,20200227
江苏,137,494,-,20200227
重庆,186,384,6,20200227
四川,218,313,3,20200227
黑龙江,204,263,13,20200227
北京,157,248,5,20200227
上海,58,276,3,20200227
河北,47,264,6,20200227
福建,69,226,1,20200227
广西,90,160,2,20200227
陕西,50,194,1,20200227
云南,22,150,2,20200227
海南,34,129,5,20200227
贵州,32,112,2,20200227
天津,36,96,3,20200227
山西,29,104,-,20200227
辽宁,28,92,1,20200227
吉林,27,65,1,20200227
香港,65,24,2,20200227
甘肃,8,81,2,20200227
新疆,40,34,2,20200227
内蒙古,36,39,0,20200227
宁夏,4,68,-,20200227
台湾,26,5,1,20200227
青海,0,18,0,20200227
澳门,3,7,-,20200227
西藏,0,1,-,20200227
湖北,59989,7862,1789,20200218
广东,1322,518,4,20200218
河南,1246,502,16,20200218
浙江,1171,502,-,20200218
湖南,1006,496,3,20200218
安徽,973,279,6,20200218
江西,930,275,1,20200218
江苏,626,257,-,20200218
重庆,553,225,5,20200218
山东,541,191,2,20200218
四川,495,152,3,20200218
黑龙江,464,85,11,20200218
北京,381,123,4,20200218
上海,333,161,1,20200218
河北,302,123,4,20200218
福建,292,91,-,20200218
广西,242,58,2,20200218
陕西,240,77,-,20200218
云南,171,45,-,20200218
海南,163,59,4,20200218
贵州,146,57,1,20200218
山西,130,53,-,20200218
天津,125,46,3,20200218
辽宁,121,41,1,20200218
甘肃,91,58,2,20200218
吉林,89,34,1,20200218
新疆,75,12,1,20200218
内蒙古,72,8,-,20200218
宁夏,70,35,-,20200218
香港,60,2,1,20200218
台湾,22,2,1,20200218
青海,18,13,-,20200218
澳门,10,5,-,20200218
西藏,1,1,-,20200218
湖北,62031,10351,2029,20200220
广东,1332,639,5,20200220
河南,1265,616,19,20200220
浙江,1175,630,1,20200220
湖南,1010,623,4,20200220
安徽,987,458,6,20200220
江西,934,433,1,20200220
江苏,631,345,-,20200220
重庆,560,274,5,20200220
山东,546,250,4,20200220
四川,520,213,3,20200220
黑龙江,476,134,12,20200220
北京,395,153,4,20200220
上海,334,199,2,20200220
河北,307,163,5,20200220
福建,293,117,1,20200220
陕西,245,106,1,20200220
广西,245,90,2,20200220
云南,173,79,1,20200220
海南,168,96,4,20200220
贵州,146,72,2,20200220
山西,131,73,-,20200220
天津,130,54,3,20200220
辽宁,121,59,1,20200220
吉林,91,41,1,20200220
甘肃,91,65,2,20200220
新疆,76,20,1,20200220
内蒙古,75,12,-,20200220
宁夏,71,44,-,20200220
香港,67,5,2,20200220
台湾,24,2,1,20200220
青海,18,16,-,20200220
澳门,10,6,-,20200220
西藏,1,1,-,20200220
湖北,62662,11854,2144,20200221
广东,1333,689,5,20200221
河南,1267,733,19,20200221
浙江,1203,680,1,20200221
湖南,1011,652,4,20200221
安徽,988,538,6,20200221
江西,934,489,1,20200221
山东,749,278,4,20200221
江苏,631,367,-,20200221
重庆,567,299,6,20200221
四川,525,226,3,20200221
黑龙江,479,164,12,20200221
北京,396,169,4,20200221
上海,334,211,2,20200221
河北,308,178,5,20200221
福建,293,143,1,20200221
广西,246,100,2,20200221
陕西,245,124,1,20200221
云南,174,96,2,20200221
海南,168,106,4,20200221
贵州,146,76,2,20200221
天津,132,59,3,20200221
山西,132,76,-,20200221
辽宁,121,61,1,20200221
吉林,91,44,1,20200221
甘肃,91,71,2,20200221
新疆,76,22,1,20200221
内蒙古,75,16,0,20200221
宁夏,71,48,-,20200221
香港,68,5,2,20200221
台湾,26,2,1,20200221
青海,18,18,-,20200221
澳门,10,6,-,20200221
西藏,1,1,-,20200221
湖北,41618,20954,2615,20200226
广东,496,844,7,20200226
河南,225,1027,19,20200226
浙江,339,865,1,20200226
湖南,230,782,4,20200226
安徽,239,744,6,20200226
江西,214,719,1,20200226
山东,382,368,6,20200226
江苏,154,477,-,20200226
重庆,197,373,6,20200226
四川,233,295,3,20200226
黑龙江,219,249,12,20200226
北京,161,235,4,20200226
上海,61,272,3,20200226
河北,57,249,6,20200226
福建,86,207,1,20200226
广西,112,138,2,20200226
陕西,55,189,1,20200226
云南,28,144,2,20200226
海南,36,127,5,20200226
贵州,40,104,2,20200226
天津,41,91,3,20200226
山西,31,102,-,20200226
辽宁,32,88,1,20200226
吉林,29,63,1,20200226
甘肃,9,80,2,20200226
香港,65,18,2,20200226
新疆,44,30,2,20200226
内蒙古,40,35,0,20200226
宁夏,6,65,-,20200226
台湾,26,5,1,20200226
青海,0,18,0,20200226
澳门,3,7,-,20200226
西藏,0,1,-,20200226
湖北,61682,9197,1921,20200219
广东,1331,607,5,20200219
河南,1262,562,19,20200219
浙江,1174,598,-,20200219
湖南,1008,552,4,20200219
安徽,986,397,6,20200219
江西,934,362,1,20200219
江苏,631,304,-,20200219
重庆,555,255,5,20200219
山东,544,225,3,20200219
四川,514,185,3,20200219
黑龙江,470,120,12,20200219
北京,393,145,4,20200219
上海,333,186,2,20200219
河北,306,140,4,20200219
福建,293,119,-,20200219
广西,244,86,2,20200219
陕西,242,103,-,20200219
云南,173,60,1,20200219
海南,163,84,4,20200219
贵州,146,69,2,20200219
山西,131,61,-,20200219
天津,130,54,3,20200219
辽宁,121,55,1,20200219
甘肃,91,63,2,20200219
吉林,90,37,1,20200219
新疆,76,20,1,20200219
内蒙古,75,9,-,20200219
宁夏,71,42,-,20200219
香港,63,4,2,20200219
台湾,22,2,1,20200219
青海,18,16,-,20200219
澳门,10,5,-,20200219
西藏,1,1,-,20200219
湖北,58182,6639,1696,20200217
广东,1322,476,4,20200217
河南,1246,445,16,20200217
浙江,1171,470,-,20200217
湖南,1006,468,3,20200217
安徽,973,269,6,20200217
江西,930,275,1,20200217
江苏,626,226,-,20200217
重庆,551,207,5,20200217
山东,541,175,2,20200217
四川,495,136,3,20200217
黑龙江,457,80,11,20200217
北京,381,114,4,20200217
上海,331,161,1,20200217
河北,301,111,3,20200217
福建,290,84,-,20200217
陕西,240,74,-,20200217
广西,238,51,2,20200217
云南,171,45,-,20200217
海南,162,52,4,20200217
贵州,146,47,1,20200217
山西,129,50,-,20200217
天津,125,45,3,20200217
辽宁,121,41,1,20200217
甘肃,90,54,2,20200217
吉林,89,30,1,20200217
新疆,75,12,1,20200217
内蒙古,72,8,-,20200217
宁夏,70,33,-,20200217
香港,57,2,1,20200217
台湾,20,2,1,20200217
青海,18,13,-,20200217
澳门,10,5,-,20200217
西藏,1,1,-,20200217
湖北,36792,26440,2682,20200228
广东,405,936,7,20200228
河南,140,1112,20,20200228
浙江,229,975,1,20200228
湖南,175,838,4,20200228
安徽,153,831,6,20200228
江西,144,790,1,20200228
山东,346,404,6,20200228
江苏,116,515,-,20200228
重庆,168,402,6,20200228
