title,company,JD,link,location,date
"AML Functional and Data Analyst, Group Anti-Money ...",OCBC Bank,"Roles & Responsibilities:· Lead various compliance solutions delivery covering transaction monitoring (including customer transaction profiling, threshold calibration), Watch list filtering and KYC software and systems; Ensure that user requirements are adequately met by IT solutions and deliverables· Perform requirement gathering and analysis across the compliance line of business, identify and translate compliance needs, and advise appropriate business solutions· Develop UAT test cases and scripts ensuring coverage of all requirements for on-going enhancements of existing solutions and in project contexts· Review and improve existing AML compliance processes and solutions for efficiency, effectiveness, and regulatory compliance· Track production IT issues relating to compliance systems and ensure resolution of issues by following up with respective teams – internal IT, vendors if necessary.· Document compliance projects including user requirements, UAT, enhancements/customizations applied, operational procedures (calibrations, threshold identification, etc.) and track issues· Engage production support teams to ensure that the identified issues are addressed; the problem management processes are robust and transparent to business users· Act as a bridge between compliance and technology usersQualificationsKnowledge: · Degree in Engineering or information Technology. ICA certification or CAMS certification in anti-money laundering is advantageous· Strong product knowledge in one or more of the AML systems (Mantas, SafeWatch, Fircosoft, Detica, Actimize etc.)· Previous experience in AML – system implementation in a banking environment is preferred ; Mantas implementation preferred or other transaction monitoring / filtering solutions implementation experience· Minimum of 5 years of overall experience of which 3 years in financial services industry in AML domain.· Basic SQL query knowledge (Teradata/Oracle) ) and data analysis using Excel and statistical tools (SAS, SPSS)Attributes of candidates: · Strong communicator, able to converse in appropriate levels of detail with Compliance analysts, IT production support and delivery teams, and relevant business/operations stakeholders· Analytical in troubleshooting and problem-solving skills· Able to work against tight deadlines· Eye for detail, high accuracy of work, and ability to own and work with minimum supervision",https://sg.linkedin.com/jobs2/view/64601121?trk=jserp_job_details_text,Singapore,"Aug 17, 2015"
Senior Data Analyst,MRM//McCann,"Responsibilities specific to the role: Online Campaign Analytics Website analytics Creative optimization A-B and multivariate test design Engagement Analysis/Scoring Integrated Measurement Integrate disparate data sources that capture performance of online and offline media Analyze and benchmark performance across channels, media properties, creative executions Develop actionable optimization recommendations Interface with agency and client stakeholders to drive implementation",https://sg.linkedin.com/jobs2/view/68316381?trk=jserp_job_details_text,Singapore,"Aug 14, 2015"
"Data Analyst &ndash; Demand Side Analytics Team, South ...",Criteo,"About CRITEO [CRTO] Criteo delivers personalized performance marketing at an extensive scale. Measuring return on post-click sales, Criteo makes ROI transparent and easy to measure. Criteo has 1,500+ employees in 23 offices across the Americas, Europe and Asia-Pacific, serving 8000+ advertisers worldwide with direct relationships with 10,000+ publishers. Overview The Data Analytics team at Criteo sits between the business and technology groups. Our business is built on a strongly quantitative culture, and our analysts are involved in setting the agenda and driving decisions across the organization. You’ll be given access to one of the world’s biggest datasets, and the computing power to exploit it. We’ll ask you to produce recommendations that can be clearly understood and quickly put into action. We are looking for a highly motivated Data Analyst to support our Sales Team in South East Asia. As you will be part of a small team of passionate analysts, you must thrive in a start-up environment, be proactive, detail-oriented and eager to learn and keep-up with an evolving product landscape.   About the team You will join a very international team (Japanese, Chinese, Korean, Singaporean, French, Russian!) that is passionate about data analysis and provides support to our offices in Japan, South Korea, Australia, Singapore and China.   Working closely with commercial and technical teams in our respective markets, we provide recommendations based on high quality data analysis and strong understanding of our industry in order to meet the objectives set by our advertisers or publishers, and we focus on delivering improvements that will have immediate and measurable impacts. We get to play with exciting technologies such as Hadoop, Vertica, Tableau and R to grow the portfolio of analyses that we offer to internal and external stakeholders.   We are always excited to take initiatives and enjoy the process of starting from an idea, then carrying out a complex data analysis, developing the results with the sales team and presenting it with them to our clients. What will you be doing? Criteo sells its technology via direct advertiser relations as well as through agencies. The Data Analyst will focus on improving business operations and advertiser performance on their countries of responsibility (Hong-Kong, India, Indonesia, Malaysia, Pakistan, Philippines, Singapore, Taiwan, Thailand and Vietnam), and therefore will:     -  Participate to cross-team business reviews of top accounts by actively optimizing advertising campaigns and proposing value-adding analytic insights than help match customer ROI expectations     -  Be an expert of Criteo’s technology and support Sales teams on their day to day business operations to ensure that we deliver the best performance to our advertisers and drive Criteo’s revenue growth     -  Use your knowledge of our data delivering and reporting systems to develop reports and metrics that will present actionable insights to teams across the business     -  Propose strategic recommendations to achieve country revenue targets in all countries of responsibility     -  Ensure consistent strong quality of service in exercising your function when working with internal and external stakeholders, and help automate low added value tasks and free up some time for higher added value ones     -  Help the Sales team to be considered as experts through industry relevant insights, and improve our ability to feed analyses with insightful external data points (think outside the box)     -  Actively contribute to elevating the knowledge level within the APAC team by pro-actively sharing technical / analytical knowledge and spreading best practices Expected outputs include building tools, analyses and new models, as well as influencing commercial teams in market to use the best practices you will have defined jointly with our APAC Analytics team.",https://sg.linkedin.com/jobs2/view/67470218?trk=jserp_job_details_text,Singapore,"Aug 12, 2015"
"Data Analyst &ndash; Supply Side Analytics Team, South ...",Criteo,"  About CRITEO [CRTO] Criteo delivers personalized performance marketing at an extensive scale. Measuring return on post-click sales, Criteo makes ROI transparent and easy to measure. Criteo has 1,500+ employees in 23 offices across the Americas, Europe and Asia-Pacific, serving 8000+ advertisers worldwide with direct relationships with 10,000+ publishers. Overview The Data Analytics team at Criteo sits between the business and technology groups. Our business is built on a strongly quantitative culture, and our analysts are involved in setting the agenda and driving decisions across the organization. You’ll be given access to one of the world’s biggest datasets, and the computing power to exploit it. We’ll ask you to produce recommendations that can be clearly understood and quickly put into action.   We are looking for a highly motivated Data Analyst to support our Supply Team in South East Asia. As this is a newly created position, you must thrive in a start-up environment, be proactive, detail-oriented and eager to learn and keep-up with an evolving product landscape.   About the team You will join a very international team (Japanese, Chinese, Korean, Singaporean, French, Russian!) that is passionate about data analysis and provides support to our offices in Japan, South Korea, Australia, Singapore and China.   Working closely with commercial and technical teams in our respective markets, we provide recommendations based on high quality data analysis and strong understanding of our industry in order to meet the objectives set by our advertisers or publishers, and we focus on delivering improvements that will have immediate and measurable impacts. We get to play with exciting technologies such as Hadoop, Vertica, Tableau and R to grow the portfolio of analyses that we offer to internal and external stakeholders.   We are always excited to take initiatives and enjoy the process of starting from an idea, then carrying out a complex data analysis, developing the results with the sales team and presenting it with them to our clients.   What will you be doing? Criteo purchases its inventory via a number of channels, from direct publisher relations to large RTB platforms. The Data Analyst will focus on improving business operations and buying performance on their countries of responsibility  (Hong-Kong, India, Indonesia, Malaysia, Pakistan, Philippines, Singapore, Taiwan, Thailand and Vietnam), and therefore will:     -  Monitor overall supply activity in all countries of responsibility           +  Identify issues and deviation on a daily basis affecting the accounts           +  Create and deploy tools which will facilitate or simplify commercial activities     -  Support Direct publisher relationships           +  Build documents, datasets and analyses to feed the discussions with the accounts           +  Propose and assess potential deals that could be offered to the account     -  Improve performance by identifying and solving issues as well as optimizing our buying     -  Publish quarterly market studies analyses for supply side management teams in all countries of responsibility Expected outputs include building tools, analyses and new models, as well as influencing commercial teams in market to use the best practices you will have defined jointly with our Central Supply Analytics team.",https://sg.linkedin.com/jobs2/view/67462988?trk=jserp_job_details_text,Singapore,"Aug 12, 2015"
Data Analyst,"Viki, Inc.","We are in search of a Data Analyst.  Reporting to the Director of Analytics, you will be joining a talented, collaborative team at the forefront of exciting new ventures in the digital media space.   Viki collects gigabytes of data daily in order to understand our users, learn about content trends and use it to guide our product strategy and marketing activities. As a Data Analyst, your job will be to work with large datasets and help various teams at Viki to effectively utilize this data for decision making. A successful candidate will enjoy working with big data sets and has a proactive and organized approach to solving problems. Essential duties and responsibilities may include, but are not limited to: Work with various teams to understand their data needs and create useful reports and dashboards for them Generate insights for Product and Growth teams by analyzing A/B tests and experiments data Analyze content consumption data to help Content Marketing teams identify which shows perform well on Viki Deep dive into big data and provide Business Intelligence/Analytics support to key business/financial initiatives company wide Solve problems arising from dynamic data and changing requirements Work with Developers and various Product teams to ensure that data collection and tracking has been correctly implemented",https://sg.linkedin.com/jobs2/view/66777124?trk=jserp_job_details_text,Raffles,"Aug 7, 2015"
"Analyst, APAC (Data & Analytics Services)",GroupM,"Listing InfoOverview of job This role acts as a specialist to agency teams in all areas concerning the data platform and analytics services. You will be looked upon to provide designing, building and managing of data from various data platforms, as well as building efficient campaign analysis solutions to meet specific clients’ requirements.4 Best Things About The JobThe opportunity to work with a variety of blue chip clients across all the agencies under GroupM!A role where you like to see yourself providing creative ideas to analyze post-campaign analysis and you have a liking for numbers!A role where you not only participate in day to day operational work but will be looked upon to generate ideas and initiatives proactively for different industry clients!A fantastic chance to build on regional exposure and project management skills across global teams!Measures of success – In Three Months, You Would HaveBe familiar with our data and analytics platform. This will allow you to build basic data management on the platform and use our global standard delivery processes with guidance from a senior team member.In Six Months, You Would HaveOwn the build of various data sources (e.g. Google Analytics, AdWords, Facebook, Twitter, etc.) to integrate data and make good of it to visualize in a meaningful manner (e.g. creative dashboards). You would have a good understanding of the data & analytics platform and can fully utilise the platform and data marketplace to help agencies and clients gain efficiencies in meeting their data analytics needs.In 12 Months, You Would HaveAble to manage build for larger and more complex data management with minimal guidance. Also, you would be confident in discussing requirements from agency and client teams, driving data and analytics solutions to build credibility based on your business knowledge and experience gained.Responsibilities Of The RoleSupport Engagement/Business Lead to plan and design efficient online/offline campaign reporting solutions to meet agency and client requirementsSupport agency teams in campaign insights demonstrations (internal and external) with creative dashboards and also to support client teams in pitches when neededCo-run Design/Training workshops with Engagement Lead with agency and client teamsUnderstanding of Microsoft Access/SQL scripting to manage data and documenting instructions for everyone’s knowledgeComfortable with communicating and working with multiple global teamsUnderstanding of marketing dimensions and metrics for campaign analysis and ad effectiveness is a plusBehaviors & CompetenciesGroupM is committed to developing a favorable working environment and people culture. We strive to embrace and live the following qualities and behaviors;We are Pioneers: We lead, we challenge and we are ingeniousFocused on Excellence: We always deliver our promises, we recognize and reward successRespect Individuality: Our people are our strength. We are invested in career training, open communication and fostering personal growthThe Power of One: Our greatest strength is our common vision and goals. Effective teams achieve more. We get great things done when we act with power of oneLife should be Fun: Work is part of life and should be fun. We value and promote a healthy work/life balanceWhat You Will NeedBackground in data management and analysis with a keen interest in leveraging data and technology to provide insights and analysis for advertisers and media agenciesExperience with database conceptsAbility to work collaboratively with multi-cultural business partners and stakeholders, work effectively within cross-functional teamsStrong written and oral communication skills, ability to communicate effectively with business users from various teamsAbout GroupMGroupM is the parent company to WPP’s media agencies including Mindshare, MediaCom, MEC and Maxus. Our primary purpose is to maximize the performance of the agencies on behalf of our clients, our shareholders and our people by operating as a parent and collaborator in performance-enhancing activities such as trading, content creation, sports, digital, finance, talent, proprietary tool development and other business-critical capabilities. The agencies that comprise GroupM are all global operations in their own right with leading market positions.The focus of GroupM is the intelligent application of physical and intellectual scale to benefit trading, innovation, and new communication services, to bring competitive advantage to our clients and our companies. For more information on GroupM, our agencies and WPP please visit www.groupm.comSingapore market overviewGroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners.As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in.   ",https://sg.linkedin.com/jobs2/view/74726411?trk=jserp_job_details_text,"Singapore, SG","Jul 25, 2015"
Data Analyst,Emerio Technologies Pvt Ltd.,Candidate should have strong system knowledge Datawarehouse knowledge is required Banking experience will be good Finnacle experience will be good to have,https://sg.linkedin.com/jobs2/view/79074378?trk=jserp_job_details_text,"Singapore, SG","Aug 18, 2015"
Reference Data Analyst,Credit Suisse,"Execute data maintenance in static systems such as client and SSI data/account creation, amendment, validation, deactivation, repair and enrichment of records, in a timely and accurate manner.  Perform root cause analysis and research on process exception, data quality issues etc to support our key internal client who reply on the data we maintain to execute and settle transactions on a timely basis  Monitor, manage and mitigate data quality breaks, minimizing operational risks issues associated with data maintenance in the production operation Understand the business areas that the group supports and manage workflow based on Customer / Market priority and sensitivities.  Develop an understanding of the importance of the Data integrity of the function and action all requests with a control based mindset.  Identify trends / common themes and work with the Line Manager to address those gaps.  To conduct a review of various control reports and take action as necessary. Build relationships with key users in order to foster strong relationship between Reference Data and other areas.  Participate in various tactical and strategic initiatives involving / impacting Reference Data.  Identify ways of improving workflow design through changing business and user requirements.  Develop an understanding of Peripheral areas that rely on Reference Data services – e.g. Credit Risk management, Financial Control etc. A degree or diploma in a relevant discipline  Good attention to detail – accuracy, control and timeliness are critical success factors  Good problem solving & prioritization skills  Excellent written and Oral communication skills  Team work - ability to work as part of a team, willing to take on tasks as workflow dictates  Good time management - ability to prioritize tasks, work under pressure & adhere to deadlines  Flexible work approach – be willing to operate within shift environment (Shift starts 7am/9am/11am) Availability to work a share of Singapore Public Holidays. Time off in lieu will be given for public holidays worked  Customer Service Focus – must be able to work with our customers to ensure that we have provide a high and consistent standard of service  Control Orientation – should have an appreciation of importance of segregation of duties and the need to maintain data integrity of static data",https://sg.linkedin.com/jobs2/view/78796429?trk=jserp_job_details_text,"Singapore, SG","Aug 17, 2015"
(SGP-Singapore) Risk Management Reporting Analyst ? Data ...,Citi,"The Data Analysis & Risk Control team is part of Risk Systems Management and Support group within Risk Architecture in the Risk Management organization. The team plays a key role in the integrity of Citi's Basel regulatory risk based capital calculations across a number of legal entities. The team is responsible for the quality of market risk information that feeds CitiRisk Market Risk system which is used for market risk limit reporting, VaR, Stress VaR and other regulatory capital calculations. *Key Responsibilities:* * Execute a number of internal controls which may include reconciliations, data profiling, and daily change analysis as well as other requested controls * People management- provide leadership for Data Analysis & Risk Control Team in Asia * Great communication with US based Data Analysis & Risk Control Team to ensure consistency and quality globally * Follow up on reconciliation breaks in a timely manner * Assist in the generation of risk reports leveraging Citi Risk as well as excel & MS Access * Follow up on requests from the Data Analysis & Risk Control management team * Follow up on reconciliation discrepancies with front/middle office trade support in a timely manner * Develop an understanding of market risk factors that affect VaR, market risk limits, & stress testing * Use data quality tools such as data profiling to determine broad data issues and follow up with risk providers * Develop, leverage, and maintain relationships across varying levels of management and function to ensure a high degree of accuracy in Citigroup's VaR(s) & the market risk in the CRMR (CitiRisk Market Risk) system * Provide data quality and analysis for various legal entities in Asia regions for regulatory reporting needs * Experience of exerting influence in order to ensure that deliverables are met * Market Risk knowledge- factor sensitivities (Greeks), Value at Risk methodologies * A proven track record of managing multiple priorities and dealing effectively with demanding business partners * Experience working in a fast paced environment with daily deadlines * Experience with people management and development * Project management skills * People management /development skills * Strong verbal and written communication skills * Excellent people skills: ability to interact successfully with business partners, technology teams, our technical infrastructure groups and technology managers * Strong data analysis skills * A high competency level with MS Access, Excel and PowerPoint * Strong problem solving abilities * Ability to work with various organizations * Focus on development of self and team * Ability to work on various projects * High level of attention to detail * Good client focus * Degree or post graduate qualification: MBA, Masters, PhD, Finance, Accountancy or others * Exceptional candidates who do not meet these criteria may be considered for the role provided they have the necessary skills and experience **Job:** **Risk Management* **Title:** *Risk Management Reporting Analyst ? Data Analysis & Risk Control (VP)* **Location:** *APAC-SGP-Singapore-Singapore* **Requisition ID:** *15063449*",https://sg.linkedin.com/jobs2/view/72505465?trk=jserp_job_details_text,"Singapore, SG","Jul 13, 2015"
(SGP-Singapore) Risk Management Reporting Analyst ? Data ...,Citi,"The Data Analysis & Risk Control team is part of Risk Systems Management and Support group within the Risk Architecture in the Risk Management organization. The team plays a key role in the integrity of Citi's Basel regulatory risk based capital calculations across a number of legal entities. The team is responsible for the quality of market risk information that feeds CitiRisk Market Risk system which is used for market risk limit reporting, VaR, Stress VaR and other regulatory capital calculations. *Key Responsibilities:* * Execute a number of internal controls which may include reconciliations, data profiling, and daily change analysis, as well as other requested controls * Follow up on reconciliation breaks in a timely manner * Assist in the generation of risk reports leveraging Citi Risk, as well as Excel and MS Access * Follow up on requests from the Data Analysis & Risk Control Management team * Follow up on reconciliation discrepancies with Front/Middle Office Trade Support in a timely manner * Develop an understanding of market risk factors that affect VaR, market risk limits and stress testing * Use data quality tools such as data profiling to determine broad data issues and follow up with risk providers * Develop, leverage and maintain relationships across varying levels of management and function to ensure a high degree of accuracy in Citigroup's VaR(s) and the market risk in the CRMR (CitiRisk Market Risk) system * Provide data quality and analysis for various legal entities in Asia regions for regulatory reporting needs * Experience of exerting influence in order to ensure that deliverables are met * Market risk knowledge - factor sensitivities (Greeks) and Value at Risk methodologies * A proven track record of managing multiple priorities and dealing effectively with demanding business partners * Experience working in a fast-paced environment with daily deadlines * Project management skills * Strong verbal and written communication skills * Excellent people skills - ability to interact successfully with business partners, technology teams, our technical infrastructure groups and technology managers * Strong data analysis skills * A high competency level with MS Access/Excel/PowerPoint * Strong problem solving abilities * Degree or post graduate qualification - MBA/Masters/PhD in Finance/Accountancy/other * Exceptional candidates who do not meet these criteria may be considered for the role provided they have the necessary skills and experience * Ability to work with various organizations * Ability to work on various projects * High level of attention to detail * Good client focus **Job:** **Risk Management* **Title:** *Risk Management Reporting Analyst ? Data Analysis & Risk Control (AVP)* **Location:** *APAC-SGP-Singapore-Singapore* **Requisition ID:** *15063451*",https://sg.linkedin.com/jobs2/view/72506180?trk=jserp_job_details_text,"Singapore, SG","Jul 13, 2015"
